ORF	NAME	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YOR157C	PUP1   PROTEIN DEGRADATION    20S PROTEASOME SUBUNIT (BETA2)	-0.12	-0.32	0.01	-0.15	-0.01	-0.38	0.21	-0.23		-0.25	-0.03	-0.32	-0.12	-0.67	-0.1	-0.3	0.01	-0.29	0.43	0.3	-0.17	0.12	-0.03	-0.09	0.07	0.18	0.21	0.12	-0.12	0.39	0.37	0.14	-0.69	-0.56	-0.36	-0.29	-0.07	-0.01	0.1	-0.01	-0.14	-0.04	0.24	-0.43	0.6	0.19	0.58	-0.36	1.08	1.21	0.89	-0.1	-0.51	0.03	-0.62	-1.94	1.46	2.44	-0.07	0.14	0.53	0.1	-0.07	0.23	0.26		0.23	0.14	0.1	-0.2	0.11	-0.76	0.15	0.19	0.14	-0.15	-0.09	0.45	-0.43
YER094C	PUP3   PROTEIN DEGRADATION    20S PROTEASOME SUBUNIT (BETA3	0.01	0.08	0.21	0.26	-0.03	0.25	-0.06	0.18	0.16	-0.32	0.37	0.16	0.1	-0.1	0.04	0.08		-0.14	0.55	0.3	0.32	0.04	-0.01	0.11	0.18	0.14	0.07	0.14	0.3	0.3	0.21	0.31	-0.32	-0.22	-0.03	0.53	-0.27	-0.25	0.11	0.37	0.19	0.06	0.16	0.34	0.37	0.49	0.53	-0.04	0.54	0.57	0.56	0.36	0.3	-0.23	0.03	-0.42	0.82	1.58	0.33	-0.2	-0.18	-0.49	-0.45	-0.64	0.29	0.46	0.26	-0.17	-0.09	0.12	0.07	0.48	0.14	0.11	0.44	-0.01	-0.15	0.53	0.33
YAR007C	"RFA1   DNA REPLICATION     REPLICATION FACTOR A, 69 KD SUBUNIT"	-0.64	-0.58	0.7	0.76	0.51	-0.34	-0.51	0.62	-0.97	-0.34	0.37	0.64	0.29		-0.25	-0.51	-0.27	-0.51	-1.03	-0.36	-0.89	-0.43		0.31	0.34	0.25	0.15	0.06	-0.58	0.04	-0.29	-0.34	-0.71	0.37	0.9	-0.74	-1.84	-2	0.1	0.53	0.37	-1.06	-1.47	-0.97	0.16	-0.03	0.03	-0.14	2.41	2.1	2.04	0.57	0.84	0.57	-0.58	-1.79	3.08	2.86	-0.43	0.03	-0.1	-0.14	-0.27	-0.49	-0.38	-0.18	-0.03	-0.23	-0.1	0.08	-0.74	-0.3	-0.17	-0.32	-0.22	-0.25	-0.17	-0.51	-1.43
YNL312W	RFA2   DNA REPAIR       REPLICATION FACTOR A 36 KD SUBUNIT	-0.69	-0.79	0.48	0.96	0.78	0.77	0.04	-0.47	-0.79	-0.56	0.06	0.23	0.53	-0.15	0.06	-0.62	-0.22	-0.54	-1.09	-0.36	-0.34	-0.3	0.25	0.25	0.42	0.33	-0.01	0.01	-0.18	-0.27	-0.6	-0.22	-0.04	-0.12	-0.07	-0.62	-0.6	-0.32	0.28	0.75	-0.36	-1.22	-0.56		-0.56	-0.07	-0.36	-0.49	1.88	1.85	1.62	0.64	0.37	0.07	-0.51	-1.6	2.61	2.71	-0.12	-0.54	-0.34	-0.42	-0.49	-0.25	0.24	-0.01	0.01	0.01	-0.06	-0.18	-0.1	-0.47	0.01	0.06	-0.27	-0.69	-0.42	-0.97	-1.09
YNL290W	RFC3   DNA REPLICATION     REPLICATION FACTOR C 40 KD SUBUNIT	-0.42	-0.94	0.14	0.25	0.39	-0.17	0.2	-0.3	-0.22	-0.38	-0.01	-0.09	0.08	-0.43	-0.17	-0.42	-0.62	-0.18	-0.51	-0.49	-0.58	-0.1	0.04	0.04	0.1	0.23	-0.09	-0.1	-0.09	-0.04	-0.43	-0.22	-0.04	-0.12	-0.07	-0.62	-0.6	-0.32	0.28	0.75	-0.36	-1.22	-0.56		-0.56	-0.07	-0.36	-0.47	0.91	0.56	0.36	-0.17	-0.36	0.19	-0.1	-0.58	0.83	0.64	-0.3	-0.51	-0.29	-0.12	-0.27	0.08	-0.09	-0.12	-0.34	-0.01	-0.18	0.4	0.26	-0.01	-0.01	0.26	0.48	-0.07	0.03	0.07	-0.29
YLR344W	RPL26A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L26A	-0.17	-0.56	-0.34	-0.51	-0.29	-0.47	-0.1	-0.23	-0.04	-0.45	-0.32	-0.54	0.2	-0.36	0.03	-0.29	0.2	-0.3	-1.51	-0.81	-0.4	0.15	0.03	-0.1	-0.43	-0.12	0.03	-0.15	-0.49	-0.32	-0.51	-0.64	-0.17	0.01	0.21	0.24	0.37	0.28	0.16	0.03	-0.06	-0.07	0.29	-0.84	-0.06	-0.15	0.04	-0.32	-1.56	-1.94	-1.79	-1.47	-0.81	0.33	-0.12	1.31	-2.12	-2.47	-0.2	-1.32	-1.25	-0.76	-0.74	-1.64	-0.14	-0.29	-0.76	-1.09	-0.14	0.3	-1.12	-0.67	-0.09	-0.17	-0.36	-0.71	-0.51	-1.56	-2.4
YGR034W	RPL26B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L26B	0.15		-0.09	0.16	-0.1	0.18	-0.23	0.2	0.15	-0.14	0.34	0.04	0.23	0.24	0.29	0.31	0.18	0.18	-0.43	0.15	0.58	0.88	0.42	0.7	0.51	0.21	0.04	0.4	0.49	-0.01		-0.2	-0.42	-0.2	-0.01	0.18	0.23	0.14	0.19	0.19	0.04	-0.22	0.2	-0.07	-0.1	-0.22	0.1		-1.47	-2	-2.06	-1.29	-0.74	-0.01	-0.17	1.28	-1.94	-2.47	0.01	-1.6	-2.4	-1.56	-1	-1.06	0.24	0.23	-0.67	-1.03	0.2	-0.29	-0.64	-1.03	-0.01	-0.23	-0.14	-0.69	-0.45	-1.64	-1.69
YHR010W	RPL27A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L27A	0.16	-0.09	-0.09	0.04	-0.14	0.07	-0.1	0.31	0.43	0.18	0.42	0.18	0.21	0.23	0.24	0.3	0.32	0.28	-0.43	0.3	0.81	1.24	0.83	0.96	0.8	0.71	0.29	0.25	0.55	-0.32	0.04	0.1	-0.29	-1.25	-0.22	0.34	-0.74	0.21	-0.2	0.73	1.05	-0.86	-0.38	0.81	-0.97	0.43	-1.09	0.01	-1.64	-2.12	-2.4	-1.22	-0.3	0.16	-0.27	1.92	-2.74	-3.84	-0.23	-2.12	-2.47	-1.6	-1.15	-0.71	0.24	0.42	-1.12	-0.86	0.01	-0.32	-0.45	-1.06	0.55	0.4	0.61	0.01	0.01	-1.09	-1.94
YDR471W	RPL27B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L27B	0.15	-0.34	0.01	-0.42		0.1	0.15	0.08	0.29	-0.03	0.39	0.01	0.12	0.08	0.33	0.03	0.5	-0.18	-1.18	-0.23	-0.03	0.29	0.42	0.28	0.21	0.26	0.07	-0.09	0.01	-0.12	-0.14	-0.15	-0.01	0.24	0.28	-0.14	-0.17	0.04	0.07	0.19	-0.03	-0.43	-0.04	0.46	-0.38	-0.25	-0.23	-0.01	-1.56	-2.25	-2.32	-1.18	-0.42	0.14	-0.34	1.28	-1.69	-3.32	-0.36	-2	-2	-1.56	-1.03	-1.12	0.18	0.1	-0.62	-0.38	-0.07	-0.45	-1	-1.74	0.38	0.18	0.18	-0.54	-0.15	-1.43	-2
YGL103W	RPL28  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L28	0.43	0.07	0.21	0.04	0.21	-0.03	0.21	0.18	0.41	0.4	0.37	0.15	0.41	0.32	0.48	0.26	0.77	0.31	0.01	0.49	0.36	1.03	1.2	0.79	0.79	0.5	0.5	0.23	0.68	0.25	0.1	0.12	-0.34	-0.17	0.15	0.21	0.45	0.3	0.43	0.29	0.06	0.04	0.23	0.33	0.14		0.23	-0.22	-1.64	-1.74	-2.06	-1.43	-0.94	0.01	-0.45	0.58	-2.47	-2.47	-0.1	-1.29	-1.69	-1.36	-0.76	-0.6	0.33	0.25	-0.74	-1.15	0.39	0.06	0.14	-0.74	0.21	0.19	0.06	-0.14	-0.3	-1.51	-2.12
YIL018W	RPL2B  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L2B	0.14	-0.07	-0.18	-0.03	-0.22	-0.07	-0.2	0.12		-0.17		-0.09	0.24	0.12	0.24	0.14	-0.12	-0.04	-0.74	-0.04	0.55	0.86	0.82	0.7	0.61	0.79	0.49	0.21	0.28	0.1	0.01	-0.2	-0.64	-0.54	-0.29	0.06	0.04	0.06	-0.12	0.06	-0.15	-0.49	-0.07	-0.58	-0.51	-0.56	-0.45	0.04	-2.06	-2.47	-2.84	-1.89	-0.89	0.69	-0.43	1.57	-3.47	-4.32	0.11	-1.18	-2.32	-1.47	-0.79	-0.42	0.15	-0.54	-0.71	-1.22	-0.03	-0.3	-0.56	-1.29	0.3	0.08	0.26	-0.22	-0.17	-1.36	-2.32
YOR063W	RPL3   PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L3	0.29	-0.3	-0.01	-0.14	0.16	0.29	0.29	0.01	0.07	-0.04	0.12	-0.1	0.18	-0.07	0.54	0.11	0.16	-0.06	0.15	-0.14	0.19	0.44	0.81	0.64	0.64	0.86	0.76	0.52	-0.01	0.43	-0.03	0.21	-0.49	-0.36	0.03	0.23	0.42	0.37	0.32	0.4	0.01	0.06	0.25	0.21	0.04	-0.14	-0.12	-0.06	-2.06	-1.79	-2.18	-1.18	-0.74	-0.56	-0.81	0.65	-3.64	-4.32	-0.17	-0.84	-2.06	-1.56	-0.74	-0.86	0.54	-0.81	-0.54	-0.94	0.26	-0.22	-0.58	-0.76	0.14	0.07	0.28	-0.25	-0.29	-1.69	-2.25
YGL030W	RPL30  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L30		-0.27	-0.22	-0.22	-0.18	-0.2	-0.06	-0.1	-0.15	-0.23	-0.38	-0.32	0.12	-0.34	-0.03	-0.36	0.4	-0.25	-0.43	-0.29	-0.03	0.21	0.4	0.39	-0.22	0.11	-0.23	-0.14	0.25	-0.43	-0.79	-0.36	-1.06	-0.38	-0.25	0.04	0.3	0.11	0.11	0.19	-0.12	-0.27	0.11	-0.54	-0.3	-0.4	-0.18	-0.6	-1.47	-1.84	-2.12	-1.25	-0.79	-0.09	-0.4	1.06	-2.06	-2.84	-0.38	-1	-1.74	-1.64	-0.89	-1.22	-0.1	-0.3	-1.09	-0.92	-0.09	-0.03	-0.56	-0.97	-0.09	-0.15	0.04	-0.43	-0.34	-1.43	-2.06
YDL075W	RPL31A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L31A	0.01	-0.15	-0.06	0.11	-0.29		-0.34	0.08	0.58		0.55	0.01	0.16	0.03	0.31	0.58	0.18	0.26	-0.43	0.26	0.69	0.71	0.36	0.82	0.74	0.58	0.2	0.43	0.45	0.12	-0.01	0.04	-1.09		0.04	-0.76	-0.89	0.72	-0.09	0.15	-1.15	-0.79	-0.22	0.1	-0.74	-0.69	-0.47	0.21	-1.09	-1.43	-1.43	-1.09	-0.3	0.44	-0.14	1.14	-2.06	-2.32	-0.36	-1.64	-2.47	-1.69	-1.32	-1.47	0.29	0.74	-0.42	-1.03	-0.2	-0.2	-0.45	-1.74	0.28	0.11	0.29	-0.09	-0.38	-1.06	-2.06
YLR406C	RPL31B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L31B	-0.04	-0.58	-0.2	-0.71	-0.06	-0.74		-0.38	0.28	-0.12	0.58	-0.42	-0.04	-0.62	0.64	-0.14	-0.06	-0.29	-0.74	-0.27	-0.3	0.55	0.07	-0.1	0.2	-0.17	-0.12	-0.1	-0.47	-0.3	-0.45	-0.47	-0.14	0.11	-0.06	-0.07	-0.74	-0.09	-0.06	0.15	-0.4	-0.81	-0.71	0.69	-0.64	-0.36	-0.43	-0.49	-0.69	-0.38	-0.45	0.01	-0.03	-0.43	0.28	-0.36	-0.81	-0.25	-0.43	-0.94	-1.29	-0.32	-0.94	0.11	-0.54	-0.01	-0.62	-0.89	0.07	-0.04	0.04	-0.62	0.11	-0.09	0.06	-0.14	-0.36	-0.86	-1.25
YBL092W	RPL32  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L23	0.06	-0.51	-0.1	-0.3	0.12	-0.51	-0.04	0.11	0.3	-0.12	0.45	0.16	0.07		0.39	0.66	-0.22	0.11	-0.97	-0.4	-0.14	0.08	0.29	-0.15	-0.03	0.16	0.01	-0.03	-0.38	-0.07	-0.18	-0.49		0.48	-0.09	0.15	0.1	0.11	0.23	0.14	0.07		0.19	0.7	0.12	-0.2	-1	0.21	-0.76	-1.06	-1.12	-0.84	-0.4	0.32	-0.09	0.93	-1	-1.43	0.01	-1.06	-1.43	-1.32	-1.03	-1	-0.04	0.3	-0.47	-0.89	-0.01	-0.14	-0.74	-1.09	0.54	-0.07	-0.1	-0.32	-0.32	-0.94	-0.86
YPL143W	RPL33A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L33A	0.23	-0.23	-0.17	-0.14	-0.04	-0.01	0.16	0.03	0.29	-0.09	0.19	-0.17	0.2	-0.04	0.18	-0.06	0.16	0.01	-0.94	-0.23	0.18	0.29	0.51	0.42	0.24	0.19	0.18	0.01	0.04	-0.12	-0.23	-0.42	-0.17	0.04	0.12	-0.07	-0.06	0.04	0.1	-0.01	0.07	-0.42	-0.1	-0.23	-0.17	-0.45	0.03	-0.2	-1.06	-1.56	-1.79	-1.09	-0.49	0.32	-0.23	1.04	-2.56	-3.18	-0.12	-1.51	-2.06	-1.03	-0.94	-0.58	0.08	-0.14	-0.79	-1	0.04	0.3	-0.49	-1.6	0.16	-0.14	0.38	-0.36	-0.3	-1.51	-1.36
YOR234C	RPL33B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L33B	-0.12	-0.32	-0.36	-0.29	-0.43	-0.43	-0.07	-0.15	-0.17	-0.04	-0.38	-0.47	-0.07	-0.45	0.07	-0.56	0.1	0.08	-0.92	-0.23	0.11	0.16	0.33	0.56	-0.04	0.36	0.29	0.25	0.14	-0.04	-0.29	-0.25	0.01	0.12	0.25	0.16	0.18	0.24	0.26	0.19	0.01	-0.15	0.23	-0.51		-0.17	0.15	-0.47	-1.22	-2	-1.84	-1.43	-0.6	0.26	-0.29	0.83	-2.4	-2.94	-0.42	-1.79	-2.32	-1.47	-0.97	-0.43	0.07	0.1	-0.76	-1.25	-0.79	-0.74	-1.18	-2.25	0.08	0.08	-0.12	-0.36	-0.49	-1.69	-2.32
YIL052C	RPL34B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L34B	0.1	-0.07	-0.23	0.03	-0.2	0.03	-0.22	0.37	0.4	-0.09	0.5	-0.1	0.2	0.07	0.34	0.32	0.07	-0.1	-0.49	-0.01	0.58	0.68	0.72	0.84	0.81	0.58	0.4	0.2	0.51	0.03	-0.23	-0.09	-0.12	0.18	0.38	0.28	0.28	0.34	0.4	0.3	0.44	0.04	0.3	0.43	0.3	0.01	0.58	0.33	-1.69	-2.18	-2.12	-1.25	-0.43	0.44	-0.22	1.53	-3.32	-4.06	-0.27	-1.25	-2.56	-1.74	-1.22	-1.22	0.39	0.48	-0.42	-1	-0.2	-0.15	-1.03	-1.6	0.42	-0.09	0.28	-0.09	-0.34	-1.64	-2.25
YDL191W	RPL35A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L35A	0.01	-0.1	-0.09	-0.17	0.07	0.08	0.08	0.18	-0.04	-0.01	0.19	-0.32	-0.07	-0.15	0.11	-0.01	0.39	-0.12	-0.36	0.01	0.12	0.26	0.6	0.14	0.26	0.19	0.01	-0.2	0.15	-0.23	-0.43	-0.49	-0.18	0.24	-0.09	-0.79	-0.84	-0.25	0.08	0.96	-0.81	-1.43	-0.47	0.9	-1	0.28	-2.84	0.01	-1.15	-1.47	-1.69	-1.15	-0.67	0.03	-0.23	0.77	-1.64	-1.29	-0.49	-1.36	-1.51	-1.43	-1.12	-0.43	0.19	0.49	-0.58	-0.86	-0.49	-0.74	-1.51	-2.25	0.14	-0.15	0.15	-0.23	-0.15	-1.47	-1.94
YDL136W	RPL35B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L35B	-0.22	-0.84	-0.43	-0.51	-0.51	-0.51	-0.43	-0.36	-0.29	-0.43	-0.45	-0.51	-0.07	-0.4	-0.12	-0.4	-0.03	-0.2	-1.22	-0.56	-0.2	-0.51	0.18	-0.03	-0.45	-0.1	-0.07	-0.12	-0.42	-0.27	-0.32	-0.58	-0.38	0.32		0.12	-0.92	-0.14	-0.38	0.37	2.75	-1.09	-0.43	0.29	-0.97		-0.47	0.04	-1.12	-1.64	-1.64	-1.22	-0.51	0.01	-0.43	0.76	-1.56	-1.47	-0.03	-1.32	-1.18	-1.32	-1.15	-1.29	-0.25	0.53	-0.64	-1.25	-0.36	-0.22	0.26	-1.89	-0.07	-0.01	-0.04	-0.38	-0.22	-1.56	-2.56
YLR185W	RPL37A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L37A	-0.01	-0.34	-0.38	-0.38	-0.06	-0.43	0.06	-0.32	-0.23	-0.14	0.72	-0.3	0.12	-0.42	0.1	-0.27	0.29	-0.14	-1.18	-0.36	-0.1	-0.4	0.08	0.04	-0.12		0.38	0.43	-0.15	0.07	-0.01	-0.43	-0.23		0.29	0.32	0.59	0.45	0.46	0.37	0.16	-0.07	0.38	-0.34	0.03	-0.1	0.36	-0.07	-1.06	-1.43	-1.29	-0.84	-0.47	0.42	-0.12	0.8	-2.18	-2.32	-0.62	-1.29	-2.06	-1.43	-0.74	-1.32	0.07	-0.17	-0.74	-1.22	-0.71	-0.86	-1.36	-1.84	0.33	0.12	0.16	-0.09	-0.17	-1.29	-1.84
YDR500C	RPL37B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L37B	-0.42	-0.38	-0.4	-0.27	-0.56	-0.22	-0.67	-0.43	0.08	0.14	-0.1	-0.32	-0.12	-0.29	0.03	0.04	-0.01	-0.17	-0.34	0.28	-0.3	0.34	0.25	0.34	0.38	0.64	0.34	0.39	0.07	-0.06	0.26	0.18	-0.01	0.25	0.14	0.25	0.04	-0.07	0.07	0.33	1.18	-0.43	0.21	0.79	-0.49	-0.4	-0.17	0.16	-1.03	-1.06	-1.18	-0.58	-0.23	-0.01	0.15	0.79	-1.94	-1.74	-0.18	-1.6	-1.69	-1.29	-0.94	-1.22	0.15	-0.1	-0.56	-0.94	-0.97	-0.38	-1.18	-2.32	0.19	0.06	0.37	-0.25	-0.27	-1.22	-1.84
YLR325C	RPL38  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L38	0.24	-0.03		0.2	0.06	-0.18	0.15	0.33	0.32	0.07	0.42	-0.14	0.26	-0.15	0.7	-0.1	0.65	-0.1	-0.3	-0.25	0.24	0.39	0.56	0.31	0.45	0.16	-0.03	-0.36	0.08	-0.22	-0.49	-0.51	-0.09	0.3	0.58	0.42	0.57	0.87	0.84	0.52	0.53	0.3	0.67	0.8	0.43	0.51	0.67	-0.69	-2.25	-2.64	-2	-1.69	-0.67	-0.25	-0.03	0.82	-2.94	-3.32	-0.23	-1.32	-2.56	-2.06	-0.92	-1.6	0.58	0.14	-0.45	-1.15	-0.04	-0.22	-0.86	-2.06	0.04	0.01	0.12	0.03	-0.3	-1.56	-2.56
YJL189W	RPL39  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L39	-0.29		-0.25	0.04	-0.17	0.06	-0.15	0.3	-0.01	-0.09	0.1	-0.17		0.01	0.24	0.12	0.16	-0.23	0.14	-0.14	0.21	0.48	0.23	0.25	0.06	-0.25	-0.23	-0.36	0.24	-0.54	-0.6	-0.58	0.04	0.25	0.46	0.43	0.58	0.57	0.58	0.51	0.52	0.2	0.53	0.42	0.58	0.08	1.07	-0.32	-1.25	-1.6	-1.84	-1.51	-0.97	-0.2	-0.23	0.89	-2.25	-2.56	-0.14	-1.12	-1.18	-1.18	-1.36	-0.32	-0.25	0.39	-0.76	-1.09	-0.29	0.29	-0.64	-0.92		-0.56	-0.36	-0.58	-0.36	-1.64	-2.06
YIL148W	RPL40A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L40A	-0.27	-0.01	-0.38	-0.17	-0.56	-0.06	-0.4	-0.32	-0.12	0.16	-0.34	-0.2	-0.03	-0.47	0.04	0.04	0.03	0.03	-0.32	0.46	0.36	0.45	0.28	0.58	0.32	0.33	0.07	0.16	0.26	-0.18	-0.38	-0.07	-0.29	-0.18	-0.03	0.2	0.21	0.21	0.01	0.19	0.11	-0.22	0.2	0.33	-0.14	-0.25	0.03	-0.18	-0.97	-1.4	-1.22	-1.03	-0.79	0.24	-0.27	0.66	-1.32	-1.56	-0.15	-1.25	-1.25	-1.51	-1.15	-0.94	-0.23	0.25	-0.67	-1.03	-0.32	-0.17	-1.09	-1.51	-0.12	-0.22	-0.42	-0.51	-0.4	-1.15	-2
YKR094C	RPL40B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L40B	0.16	-0.32	-0.1	-0.17		-0.38	0.03	-0.18	-0.23	-0.06	-0.18	-0.42	0.06	-0.34	0.21	-0.29	0.38	-0.14	-0.15	-0.15	0.14	-0.07	0.28	0.12	0.03	0.06	-0.01	-0.18	-0.29	-0.18	-0.22	-0.58	-0.43	-0.17	0.11	0.11	0.5	0.33	0.45	0.52	0.11	0.07	0.38	0.23	0.3	-0.09	0.3	-0.4	-1.09	-1.47	-1.29	-1.06	-0.84	-0.17	-0.2	0.48	-1.43	-1.64	-0.42	-1.32	-1.89	-2.12	-1.12	0.24	0.2	0.24	-0.74	-1.4	-0.2	-0.27	-0.89	-1.56	-0.07	-0.2	-0.12	-0.4	-0.36	-1.51	-1.84
YDL184C	RPL41A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L41A	0.25	-0.47	0.08	0.04	0.31	0.52	0.2	0.28	0.3	0.36	0.43	0.34	0.34	-0.49	0.54	0.15	0.5	0.48	-0.47	-0.81	-0.54		-0.1	-0.4	-0.34	-0.15	0.07	-0.07	-0.29	0.04	-0.06	-0.47	-0.22	0.08	0.36	0.24	0.5	0.55	0.72	0.77	0.71	0.32	0.51	0.5	0.4	0.62	1.14	0.01				-0.89	-0.49	1.66		0.58	-0.94	-1.6	-0.22	-0.47	-2.18	-2.06	-1.51	-1.64	-0.17	0.68	-0.23	-0.84	-0.14	-1	-0.58	-1.89	0.19	0.28	0.58	0.3	0.3	-0.62	-1.4
YNL162W	RPL42A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L42A	0.12	-0.29	0.01	-0.04	0.24	-0.34	0.07	0.11	0.03	0.07	0.2	-0.27	-0.03	-0.25	0.37	-0.06	0.42	-0.18	-0.71	-0.34	0.18	0.31	0.38	0.06	0.2	0.28	0.1	-0.04	-0.23	-0.2	-0.3	-0.36	0.2	-0.04	0.11	-0.42	-0.54	-0.42	0.53	0.62	-0.4	-1.47	-0.42		-0.94	0.21	-0.38	-0.38	-1.18	-1.94	-1.89	-1.18	-0.6	0.12	-0.23	0.77	-2.56	-3.18	-0.23	-1.74	-2.12	-1.74	-0.89	-1.18	0.11	0.19	-0.89	-1.09	0.03	-0.15	-0.69	-1.89	-0.34	-0.38	-0.36	-0.56	-0.32	-1.29	-2
YHR141C	RPL42B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L42B	-0.23	0.18	-0.54	-0.03	-0.62	0.11	-0.23	0.19	-0.06	0.24	-0.14	-0.17	0.07	-0.14	-0.06	0.04	0.12	-0.01	-0.36	0.15	0.28	0.28	0.58	0.37	0.28	0.14	-0.15	-0.1	0.16	-0.38	-0.4	-0.43	-0.49	-0.25	-0.1	-0.1	-0.3	0.04	0.1	0.16	0.28	-0.23	0.03	0.97	-0.2	-0.2	0.21	0.14	-1.22	-1.51	-1.89	-0.74	-0.47	0.53	0.1	0.93	-2.56	-3.06	-0.22	-1.6	-1.69	-1.4	-1.25	-0.67	0.04	0.37	-0.69	-0.84	-0.58	-0.15	-1.09	-1.69	-0.03	-0.2	-0.22	-0.29	-0.36	-1.22	-2.06
YPR043W	RPL43A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L34A	-0.27	-0.25	-0.71	-0.4	-0.49	-0.4	-0.04	-0.34	-0.25	0.06	-0.36	-0.45	-0.06	-0.4	-0.18	-0.36	-0.1	-0.18	-0.67	-0.12	-0.1	0.3	0.49	0.49	0.56	0.55	0.16	0.34	0.7	0.03	-0.15	0.08	-0.23	-0.01	0.18	0.2	0.56	0.32	0.33	0.64	0.3	-0.03	0.29	0.3	0.12	-0.04	0.59	-0.17	-1.22	-1.6	-1.89	-1.12	-0.51	0.41	-0.36	1.23	-2.94	-2.84	-0.12	-1.06	-2	-1.36	-0.97	-0.69	-0.27	0.07	-0.58	-0.74	-0.56	-0.07	-1.12	-1.84	0.14	-0.07	-0.04	-0.1	-0.3	-0.36	-1.79
YER021W	RPN3   PROTEIN DEGRADATION    26S PROTEASOME REGULATORY SUBUNIT	0.06	0.04	0.21	-0.01			-0.32	0.23	0.37	-0.01		0.07	-0.17	-0.25	0.01	0.06	-0.23	-0.25	1.28	0.21	-0.34	0.04	-0.1	-0.27	-0.17	-0.06	-0.34	-0.36	0.03	-0.18	-0.27	-0.15	-0.42	-0.4	-0.45	0.62	-0.18	-0.2	0.04	-0.15	-0.15	0.07	-0.01	0.23	0.59	0.29	0.4	0.24	0.9	1.18	0.66	-0.06	-0.4	-0.4	-0.58	-1.51	1.72	2.79	-0.3	-0.12	0.42	-0.4	-0.47	-0.49	0.44	0.25	0.55	0.34	0.18	0.34	0.03	0.71	0.39	0.12	0.04	-0.07	-0.2	0.9	0.31
YDL097C	RPN6   PROTEIN DEGRADATION    26S PROTEASOME REGULATORY SUBUNIT	0.26	0.01	0.21	0.08	0.14	-0.14	0.14		0.32	-0.03	0.23	0.2	0.11	-0.1	-0.2	-0.12	-0.2	-0.07	1.19	0.56	0.08	0.15	-0.06	-0.1	0.04	0.25	0.2	-0.04	0.1	0.46	0.15	0.34	-0.51	-0.47	-0.45	-0.64	-1.09	-0.47	0.1	-0.09	-0.15	0.04	0.12	0.39	0.81	0.63	0.65	-0.09	0.38	0.67	0.23	-0.34	-0.58	-0.23	-0.4	-1	1.12	1.85	-0.47	-0.25	0.29	-0.23	-0.34	-0.64	0.58	0.34	0.7	0.34	-0.32	-0.27	-0.25	0.01	-0.03	-0.17	-0.1	-0.43	-0.27	1.04	0.29
